SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,MinRabbitLifeTime,AverageRabbitLifeTime,MaxRabbitLifeTime,MinFoxLifeTime,AverageFoxLifeTime,MaxFoxLifeTime,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
6,69901850,2,4,69,59,44,50,50,50,0,25,50,0,0,0,0,0,0,0,0
6,904049100,2,4,69,59,44,50,50,50,0,50,100,0,0,0,0,0,0,0,0
7,103837150,2,4,69,59,44,50,50,50,0,75,150,0,0,0,0,0,0,0,0
7,305061200,2,4,69,59,44,50,50,50,0,100,200,0,0,0,0,0,0,0,0
7,507563250,2,4,69,59,44,50,50,50,0,125,250,0,0,0,0,0,0,0,0
7,707744300,2,4,69,59,44,50,50,50,0,150,300,0,0,0,0,0,0,0,0
7,912914350,2,4,69,59,44,50,50,50,0,175,350,0,0,0,0,0,0,0,0
8,126016400,2,4,69,59,44,50,50,50,0,200,400,0,0,0,0,0,0,0,0
8,32482450,2,4,69,59,44,50,50,50,0,225,450,0,0,0,0,0,0,0,0
8,522847500,2,4,69,59,44,50,50,50,0,250,500,0,0,0,0,0,0,0,0
8,721592550,2,4,69,59,44,50,50,50,0,275,550,0,0,0,0,0,0,0,0
8,923155600,2,4,69,59,44,50,50,50,0,300,600,0,0,0,0,0,0,0,0
9,121916650,2,4,69,59,44,50,50,50,0,325,650,0,0,0,0,0,0,0,0
9,320732700,2,4,69,59,44,50,50,50,0,350,700,0,0,0,0,0,0,0,0
9,530184750,2,4,69,59,44,50,50,50,0,375,750,0,0,0,0,0,0,0,0
9,728137800,2,4,69,59,44,50,50,50,0,400,800,0,0,0,0,0,0,0,0
9,925976850,2,4,69,59,44,50,50,50,0,425,850,0,0,0,0,0,0,0,0
10,12297900,2,4,69,59,44,50,50,50,0,450,900,0,0,0,0,0,0,0,0
10,32315950,2,4,69,59,44,50,50,50,0,475,950,0,0,0,0,0,0,0,0
10,522211000,2,4,69,59,44,50,50,50,0,500,1000,0,0,0,0,0,0,0,0
10,720071050,2,4,69,59,44,50,50,50,0,525,1050,0,0,0,0,0,0,0,0
10,917471100,2,4,69,59,44,50,50,50,0,550,1100,0,0,0,0,0,0,0,0
11,128131150,2,4,69,59,44,50,50,50,0,575,1150,0,0,0,0,0,0,0,0
11,32611200,2,4,69,59,44,50,50,50,0,600,1200,0,0,0,0,0,0,0,0
11,523261250,2,4,69,59,44,50,50,50,0,625,1250,0,0,0,0,0,0,0,0
11,720991300,2,4,69,59,44,50,50,50,0,650,1300,0,0,0,0,0,0,0,0
11,91991350,2,4,69,59,44,50,50,50,0,675,1350,0,0,0,0,0,0,0,0
12,119331400,2,4,69,59,44,50,50,50,0,700,1400,0,0,0,0,0,0,0,0
12,32271450,2,4,69,59,44,50,50,50,0,725,1450,0,0,0,0,0,0,0,0
12,52041500,2,4,69,59,44,50,50,50,0,750,1500,0,0,0,0,0,0,0,0
12,746231550,2,4,69,59,44,50,50,50,0,775,1550,0,0,0,0,0,0,0,0
12,959611600,2,4,69,59,44,50,50,50,0,800,1600,0,0,0,0,0,0,0,0
13,16461650,2,4,69,59,44,50,50,50,0,825,1650,0,0,0,0,0,0,0,0
13,393131700,2,4,69,59,44,50,50,50,0,850,1700,0,0,0,0,0,0,0,0
13,593611750,2,4,69,59,44,50,50,50,0,875,1750,0,0,0,0,0,0,0,0
13,81331800,2,4,69,59,44,50,50,50,0,900,1800,0,0,0,0,0,0,0,0
14,023881850,2,4,69,59,44,50,50,50,0,925,1850,0,0,0,0,0,0,0,0
14,23891900,2,4,69,59,44,50,50,50,0,950,1900,0,0,0,0,0,0,0,0
14,465991950,2,4,69,59,44,50,50,50,0,975,1950,0,0,0,0,0,0,0,0
14,687482000,2,4,69,59,44,50,50,50,0,1000,2000,0,0,0,0,0,0,0,0
14,893132050,2,4,69,59,44,50,50,50,0,1025,2050,0,0,0,0,0,0,0,0
15,098482100,2,4,69,59,44,50,50,50,0,1050,2100,0,0,0,0,0,0,0,0
15,316692150,2,4,69,59,44,50,50,50,0,1075,2150,0,0,0,0,0,0,0,0
15,522122200,2,4,69,59,44,50,50,50,0,1100,2200,0,0,0,0,0,0,0,0
15,729372250,2,4,69,59,44,50,50,50,0,1125,2250,0,0,0,0,0,0,0,0
15,956422300,2,4,69,59,44,50,50,50,0,1150,2300,0,0,0,0,0,0,0,0
16,167332350,2,4,69,59,44,50,50,50,0,1175,2350,0,0,0,0,0,0,0,0
16,384192400,2,4,69,59,44,50,50,50,0,1200,2400,0,0,0,0,0,0,0,0
16,591432450,2,4,69,59,44,50,50,50,0,1225,2450,0,0,0,0,0,0,0,0
16,798742500,2,4,69,59,44,50,50,50,0,1250,2500,0,0,0,0,0,0,0,0
17,009352550,2,4,69,59,44,50,50,50,0,1275,2550,0,0,0,0,0,0,0,0
17,218192600,2,4,69,59,44,50,50,50,0,1300,2600,0,0,0,0,0,0,0,0
17,43372650,2,4,69,59,44,50,50,50,0,1325,2650,0,0,0,0,0,0,0,0
17,651652700,2,4,69,59,44,50,50,50,0,1350,2700,0,0,0,0,0,0,0,0
17,863142750,2,4,69,59,44,50,50,50,0,1375,2750,0,0,0,0,0,0,0,0
18,094712800,2,4,69,59,44,50,50,50,0,1400,2800,0,0,0,0,0,0,0,0
18,302412850,2,4,69,59,44,50,50,50,0,1425,2850,0,0,0,0,0,0,0,0
18,514782900,2,4,69,59,44,50,50,50,0,1450,2900,0,0,0,0,0,0,0,0
18,727792950,2,4,69,59,44,50,50,50,0,1475,2950,0,0,0,0,0,0,0,0
