SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
24.73327,4300,0,4,69,52,44,,,,0,0,0,0,0
24.96044,4350,0,4,69,52,44,,,,0,0,0,0,0
25.19177,4400,0,4,69,52,44,,,,0,0,0,0,0
25.40638,4450,0,4,69,52,44,,,,0,0,0,0,0
25.62936,4500,0,4,69,52,44,,,,0,0,0,0,0
25.86252,4550,0,4,69,52,44,,,,0,0,0,0,0
26.08639,4600,0,4,69,52,44,,,,0,0,0,0,0
26.29887,4650,0,4,69,52,44,,,,0,0,0,0,0
26.50948,4700,0,4,69,52,44,,,,0,0,0,0,0
26.73277,4750,0,4,69,52,44,,,,0,0,0,0,0
26.96047,4800,0,4,69,52,44,,,,0,0,0,0,0
27.1724,4850,0,4,69,52,44,,,,0,0,0,0,0
27.38142,4900,0,4,69,52,44,,,,0,0,0,0,0
27.59437,4950,0,4,69,52,44,,,,0,0,0,0,0
27.821,5000,0,4,69,52,44,,,,0,0,0,0,0
28.07621,5050,0,4,69,52,44,,,,0,0,0,0,0
28.30255,5100,0,4,69,52,44,,,,0,0,0,0,0
28.53671,5150,0,4,69,52,44,,,,0,0,0,0,0
28.78204,5200,0,4,69,52,44,,,,0,0,0,0,0
29.00763,5250,0,4,69,52,44,,,,0,0,0,0,0
29.23551,5300,0,4,69,52,44,,,,0,0,0,0,0
29.48227,5350,0,4,69,52,44,,,,0,0,0,0,0
29.70213,5400,0,4,69,52,44,,,,0,0,0,0,0
29.93543,5450,0,4,69,52,44,,,,0,0,0,0,0
30.18264,5500,0,4,69,52,44,,,,0,0,0,0,0
30.40605,5550,0,4,69,52,44,,,,0,0,0,0,0
30.63092,5600,0,4,69,52,44,,,,0,0,0,0,0
30.87767,5650,0,4,69,52,44,,,,0,0,0,0,0
31.10324,5700,0,4,69,52,44,,,,0,0,0,0,0
31.33035,5750,0,4,69,52,44,,,,0,0,0,0,0
31.58666,5800,0,4,69,52,44,,,,0,0,0,0,0
31.812,5850,0,4,69,52,44,,,,0,0,0,0,0
32.03463,5900,0,4,69,52,44,,,,0,0,0,0,0
32.28621,5950,0,4,69,52,44,,,,0,0,0,0,0
32.51195,6000,0,4,69,52,44,,,,0,0,0,0,0
32.73902,6050,0,4,69,52,44,,,,0,0,0,0,0
32.98856,6100,0,4,69,52,44,,,,0,0,0,0,0
33.20962,6150,0,4,69,52,44,,,,0,0,0,0,0
33.43444,6200,0,4,69,52,44,,,,0,0,0,0,0
33.66488,6250,0,4,69,52,44,,,,0,0,0,0,0
33.87945,6300,0,4,69,52,44,,,,0,0,0,0,0
34.09454,6350,0,4,69,52,44,,,,0,0,0,0,0
34.30931,6400,0,4,69,52,44,,,,0,0,0,0,0
34.52299,6450,0,4,69,52,44,,,,0,0,0,0,0
34.73688,6500,0,4,69,52,44,,,,0,0,0,0,0
34.96767,6550,0,4,69,52,44,,,,0,0,0,0,0
35.19498,6600,0,4,69,52,44,,,,0,0,0,0,0
35.4302,6650,0,4,69,52,44,,,,0,0,0,0,0
35.67575,6700,0,4,69,52,44,,,,0,0,0,0,0
35.90809,6750,0,4,69,52,44,,,,0,0,0,0,0
36.13536,6800,0,4,69,52,44,,,,0,0,0,0,0
36.38067,6850,0,4,69,52,44,,,,0,0,0,0,0
36.60716,6900,0,4,69,52,44,,,,0,0,0,0,0
36.84332,6950,0,4,69,52,44,,,,0,0,0,0,0
37.08308,7000,0,4,69,52,44,,,,0,0,0,0,0
37.30735,7050,0,4,69,52,44,,,,0,0,0,0,0
37.5296,7100,0,4,69,52,44,,,,0,0,0,0,0
37.77535,7150,0,4,69,52,44,,,,0,0,0,0,0
37.99835,7200,0,4,69,52,44,,,,0,0,0,0,0
38.22776,7250,0,4,69,52,44,,,,0,0,0,0,0
38.47645,7300,0,4,69,52,44,,,,0,0,0,0,0
38.71383,7350,0,4,69,52,44,,,,0,0,0,0,0
38.93694,7400,0,4,69,52,44,,,,0,0,0,0,0
39.18071,7450,0,4,69,52,44,,,,0,0,0,0,0
39.3969,7500,0,4,69,52,44,,,,0,0,0,0,0
39.61121,7550,0,4,69,52,44,,,,0,0,0,0,0
39.82949,7600,0,4,69,52,44,,,,0,0,0,0,0
40.0659,7650,0,4,69,52,44,,,,0,0,0,0,0
40.28075,7700,0,4,69,52,44,,,,0,0,0,0,0
40.49795,7750,0,4,69,52,44,,,,0,0,0,0,0
40.72555,7800,0,4,69,52,44,,,,0,0,0,0,0
40.9424,7850,0,4,69,52,44,,,,0,0,0,0,0
41.17664,7900,0,4,69,52,44,,,,0,0,0,0,0
41.39572,7950,0,4,69,52,44,,,,0,0,0,0,0
41.61279,8000,0,4,69,52,44,,,,0,0,0,0,0
41.83225,8050,0,4,69,52,44,,,,0,0,0,0,0
42.06786,8100,0,4,69,52,44,,,,0,0,0,0,0
42.28513,8150,0,4,69,52,44,,,,0,0,0,0,0
42.50354,8200,0,4,69,52,44,,,,0,0,0,0,0
42.74013,8250,0,4,69,52,44,,,,0,0,0,0,0
42.97621,8300,0,4,69,52,44,,,,0,0,0,0,0
43.21399,8350,0,4,69,52,44,,,,0,0,0,0,0
43.44144,8400,0,4,69,52,44,,,,0,0,0,0,0
43.69264,8450,0,4,69,52,44,,,,0,0,0,0,0
43.92706,8500,0,4,69,52,44,,,,0,0,0,0,0
44.17937,8550,0,4,69,52,44,,,,0,0,0,0,0
44.41875,8600,0,4,69,52,44,,,,0,0,0,0,0
44.67088,8650,0,4,69,52,44,,,,0,0,0,0,0
