SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
7.332807,50,2,8,69,42,53,54,57,54,0,0,0,0,0
7.811749,100,2,8,69,42,53,54,57,54,0,0,0,0,0
8.253341,150,2,8,69,42,53,54,57,54,0,0,0,0,0
8.650309,200,2,8,69,42,53,54,57,54,0,0,0,0,0
9.112059,250,2,8,69,42,53,54,57,54,0,0,0,0,0
9.546787,300,2,8,69,42,53,54,57,54,0,0,0,0,0
10.00466,350,2,8,69,42,53,54,57,54,0,0,0,0,0
10.43557,400,2,8,69,42,53,54,57,54,0,0,0,0,0
10.87189,450,2,8,69,42,53,54,57,54,0,0,0,0,0
11.34014,500,2,8,69,42,53,54,57,54,0,0,0,0,0
11.81196,550,2,8,69,42,53,54,57,54,0,0,0,0,0
12.25516,600,2,8,69,42,53,54,57,54,0,0,0,0,0
12.66091,650,2,8,69,42,53,54,57,54,0,0,0,0,0
13.11782,700,2,8,69,42,53,54,57,54,0,0,0,0,0
13.54722,750,2,8,69,42,53,54,57,54,0,0,0,0,0
14.01066,800,2,8,69,42,53,54,57,54,0,0,0,0,0
14.45205,850,2,8,69,42,53,54,57,54,0,0,0,0,0
14.91673,900,2,8,69,42,53,54,57,54,0,0,0,0,0
15.3544,950,2,8,69,42,53,54,57,54,0,0,0,0,0
15.77291,1000,2,8,69,42,53,54,57,54,0,0,0,0,0
16.25626,1050,2,8,69,42,53,54,57,54,0,0,0,0,0
16.75861,1100,2,8,69,42,53,54,57,54,0,0,0,0,0
17.16294,1150,2,8,69,42,53,54,57,54,0,0,0,0,0
17.6235,1200,2,8,69,42,53,54,57,54,0,0,0,0,0
18.06342,1250,2,8,69,42,53,54,57,54,0,0,0,0,0
18.53233,1300,2,8,69,42,53,54,57,54,0,0,0,0,0
19.00798,1350,2,8,69,42,53,54,57,54,0,0,0,0,0
19.44812,1400,2,8,69,42,53,54,57,54,0,0,0,0,0
19.90521,1450,2,8,69,42,53,54,57,54,0,0,0,0,0
20.34211,1500,2,8,69,42,53,54,57,54,0,0,0,0,0
20.74964,1550,2,8,69,42,53,54,57,54,0,0,0,0,0
21.21064,1600,2,8,69,42,53,54,57,54,0,0,0,0,0
21.64487,1650,2,8,69,42,53,54,57,54,0,0,0,0,0
22.1047,1700,2,8,69,42,53,54,57,54,0,0,0,0,0
22.55552,1750,2,8,69,42,53,54,57,54,0,0,0,0,0
23.02766,1800,2,8,69,42,53,54,57,54,0,0,0,0,0
23.46162,1850,2,8,69,42,53,54,57,54,0,0,0,0,0
23.9365,1900,2,8,69,42,53,54,57,54,0,0,0,0,0
24.41034,1950,2,8,69,42,53,54,57,54,0,0,0,0,0
24.85156,2000,2,8,69,42,53,54,57,54,0,0,0,0,0
25.3098,2050,2,8,69,42,53,54,57,54,0,0,0,0,0
25.75432,2100,2,8,69,42,53,54,57,54,0,0,0,0,0
26.15749,2150,2,8,69,42,53,54,57,54,0,0,0,0,0
26.65425,2200,2,8,69,42,53,54,57,54,0,0,0,0,0
27.05972,2250,2,8,69,42,53,54,57,54,0,0,0,0,0
27.52531,2300,2,8,69,42,53,54,57,54,0,0,0,0,0
27.96732,2350,2,8,69,42,53,54,57,54,0,0,0,0,0
28.45427,2400,2,8,69,42,53,54,57,54,0,0,0,0,0
28.9429,2450,2,8,69,42,53,54,57,54,0,0,0,0,0
29.47014,2500,2,8,69,42,53,54,57,54,0,0,0,0,0
30.01225,2550,2,8,69,42,53,54,57,54,0,0,0,0,0
30.56318,2600,2,8,69,42,53,54,57,54,0,0,0,0,0
31.07073,2650,2,8,69,42,53,54,57,54,0,0,0,0,0
31.65509,2700,2,8,69,42,53,54,57,54,0,0,0,0,0
32.2138,2750,2,8,69,42,53,54,57,54,0,0,0,0,0
32.7624,2800,2,8,69,42,53,54,57,54,0,0,0,0,0
33.34466,2850,2,8,69,42,53,54,57,54,0,0,0,0,0
33.86512,2900,2,8,69,42,53,54,57,54,0,0,0,0,0
34.46607,2950,2,8,69,42,53,54,57,54,0,0,0,0,0
35.06355,3000,2,8,69,42,53,54,57,54,0,0,0,0,0
35.6662,3050,2,8,69,42,53,54,57,54,0,0,0,0,0
36.22864,3100,2,8,69,42,53,54,57,54,0,0,0,0,0
36.82578,3150,2,8,69,42,53,54,57,54,0,0,0,0,0
37.36073,3200,2,8,69,42,53,54,57,54,0,0,0,0,0
37.95514,3250,2,8,69,42,53,54,57,54,0,0,0,0,0
