SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
7.000254,50,2,8,69,42,53,54,57,54,0,0,0,0,0
7.290835,100,2,8,69,42,53,54,57,54,0,0,0,0,0
7.574704,150,2,8,69,42,53,54,57,54,0,0,0,0,0
7.859777,200,2,8,69,42,53,54,57,54,0,0,0,0,0
8.153434,250,2,8,69,42,53,54,57,54,0,0,0,0,0
8.407103,300,2,8,69,42,53,54,57,54,0,0,0,0,0
8.687437,350,2,8,69,42,53,54,57,54,0,0,0,0,0
8.970902,400,2,8,69,42,53,54,57,54,0,0,0,0,0
9.252578,450,2,8,69,42,53,54,57,54,0,0,0,0,0
9.505284,500,2,8,69,42,53,54,57,54,0,0,0,0,0
9.806838,550,2,8,69,42,53,54,57,54,0,0,0,0,0
10.08939,600,2,8,69,42,53,54,57,54,0,0,0,0,0
10.36925,650,2,8,69,42,53,54,57,54,0,0,0,0,0
10.65236,700,2,8,69,42,53,54,57,54,0,0,0,0,0
10.90507,750,2,8,69,42,53,54,57,54,0,0,0,0,0
11.19327,800,2,8,69,42,53,54,57,54,0,0,0,0,0
11.47553,850,2,8,69,42,53,54,57,54,0,0,0,0,0
11.75471,900,2,8,69,42,53,54,57,54,0,0,0,0,0
12.00676,950,2,8,69,42,53,54,57,54,0,0,0,0,0
12.28947,1000,2,8,69,42,53,54,57,54,0,0,0,0,0
12.57527,1050,2,8,69,42,53,54,57,54,0,0,0,0,0
12.86784,1100,2,8,69,42,53,54,57,54,0,0,0,0,0
13.14719,1150,2,8,69,42,53,54,57,54,0,0,0,0,0
13.39871,1200,2,8,69,42,53,54,57,54,0,0,0,0,0
13.68072,1250,2,8,69,42,53,54,57,54,0,0,0,0,0
13.96211,1300,2,8,69,42,53,54,57,54,0,0,0,0,0
14.24316,1350,2,8,69,42,53,54,57,54,0,0,0,0,0
14.54507,1400,2,8,69,42,53,54,57,54,0,0,0,0,0
14.80339,1450,2,8,69,42,53,54,57,54,0,0,0,0,0
15.08698,1500,2,8,69,42,53,54,57,54,0,0,0,0,0
15.38032,1550,2,8,69,42,53,54,57,54,0,0,0,0,0
15.66437,1600,2,8,69,42,53,54,57,54,0,0,0,0,0
15.94578,1650,2,8,69,42,53,54,57,54,0,0,0,0,0
16.20041,1700,2,8,69,42,53,54,57,54,0,0,0,0,0
16.48935,1750,2,8,69,42,53,54,57,54,0,0,0,0,0
16.77215,1800,2,8,69,42,53,54,57,54,0,0,0,0,0
17.06121,1850,2,8,69,42,53,54,57,54,0,0,0,0,0
17.3421,1900,2,8,69,42,53,54,57,54,0,0,0,0,0
17.59686,1950,2,8,69,42,53,54,57,54,0,0,0,0,0
17.88242,2000,2,8,69,42,53,54,57,54,0,0,0,0,0
18.1762,2050,2,8,69,42,53,54,57,54,0,0,0,0,0
18.46265,2100,2,8,69,42,53,54,57,54,0,0,0,0,0
18.7507,2150,2,8,69,42,53,54,57,54,0,0,0,0,0
19.00713,2200,2,8,69,42,53,54,57,54,0,0,0,0,0
19.29396,2250,2,8,69,42,53,54,57,54,0,0,0,0,0
19.5758,2300,2,8,69,42,53,54,57,54,0,0,0,0,0
19.86648,2350,2,8,69,42,53,54,57,54,0,0,0,0,0
20.1543,2400,2,8,69,42,53,54,57,54,0,0,0,0,0
20.40934,2450,2,8,69,42,53,54,57,54,0,0,0,0,0
20.70076,2500,2,8,69,42,53,54,57,54,0,0,0,0,0
20.98393,2550,2,8,69,42,53,54,57,54,0,0,0,0,0
21.26759,2600,2,8,69,42,53,54,57,54,0,0,0,0,0
21.55962,2650,2,8,69,42,53,54,57,54,0,0,0,0,0
21.81039,2700,2,8,69,42,53,54,57,54,0,0,0,0,0
22.09196,2750,2,8,69,42,53,54,57,54,0,0,0,0,0
22.38358,2800,2,8,69,42,53,54,57,54,0,0,0,0,0
22.66793,2850,2,8,69,42,53,54,57,54,0,0,0,0,0
22.9615,2900,2,8,69,42,53,54,57,54,0,0,0,0,0
23.25574,2950,2,8,69,42,53,54,57,54,0,0,0,0,0
23.51197,3000,2,8,69,42,53,54,57,54,0,0,0,0,0
23.79555,3050,2,8,69,42,53,54,57,54,0,0,0,0,0
24.07813,3100,2,8,69,42,53,54,57,54,0,0,0,0,0
24.37917,3150,2,8,69,42,53,54,57,54,0,0,0,0,0
24.66725,3200,2,8,69,42,53,54,57,54,0,0,0,0,0
24.95008,3250,2,8,69,42,53,54,57,54,0,0,0,0,0
25.2123,3300,2,8,69,42,53,54,57,54,0,0,0,0,0
25.49722,3350,2,8,69,42,53,54,57,54,0,0,0,0,0
25.79085,3400,2,8,69,42,53,54,57,54,0,0,0,0,0
26.0752,3450,2,8,69,42,53,54,57,54,0,0,0,0,0
26.35742,3500,2,8,69,42,53,54,57,54,0,0,0,0,0
26.64172,3550,2,8,69,42,53,54,57,54,0,0,0,0,0
26.89799,3600,2,8,69,42,53,54,57,54,0,0,0,0,0
27.18409,3650,2,8,69,42,53,54,57,54,0,0,0,0,0
27.47845,3700,2,8,69,42,53,54,57,54,0,0,0,0,0
27.76125,3750,2,8,69,42,53,54,57,54,0,0,0,0,0
28.06371,3800,2,8,69,42,53,54,57,54,0,0,0,0,0
28.36066,3850,2,8,69,42,53,54,57,54,0,0,0,0,0
28.66898,3900,2,8,69,42,53,54,57,54,0,0,0,0,0
28.96224,3950,2,8,69,42,53,54,57,54,0,0,0,0,0
29.27038,4000,2,8,69,42,53,54,57,54,0,0,0,0,0
29.57879,4050,2,8,69,42,53,54,57,54,0,0,0,0,0
29.89776,4100,2,8,69,42,53,54,57,54,0,0,0,0,0
30.21113,4150,2,8,69,42,53,54,57,54,0,0,0,0,0
30.58071,4200,2,8,69,42,53,54,57,54,0,0,0,0,0
30.90108,4250,2,8,69,42,53,54,57,54,0,0,0,0,0
31.27631,4300,2,8,69,42,53,54,57,54,0,0,0,0,0
31.60203,4350,2,8,69,42,53,54,57,54,0,0,0,0,0
31.96833,4400,2,8,69,42,53,54,57,54,0,0,0,0,0
32.30436,4450,2,8,69,42,53,54,57,54,0,0,0,0,0
32.68705,4500,2,8,69,42,53,54,57,54,0,0,0,0,0
33.06622,4550,2,8,69,42,53,54,57,54,0,0,0,0,0
33.39346,4600,2,8,69,42,53,54,57,54,0,0,0,0,0
33.70155,4650,2,8,69,42,53,54,57,54,0,0,0,0,0
34.07558,4700,2,8,69,42,53,54,57,54,0,0,0,0,0
34.38417,4750,2,8,69,42,53,54,57,54,0,0,0,0,0
34.70181,4800,2,8,69,42,53,54,57,54,0,0,0,0,0
35.05664,4850,2,8,69,42,53,54,57,54,0,0,0,0,0
35.37989,4900,2,8,69,42,53,54,57,54,0,0,0,0,0
35.6893,4950,2,8,69,42,53,54,57,54,0,0,0,0,0
35.99844,5000,2,8,69,42,53,54,57,54,0,0,0,0,0
36.30984,5050,2,8,69,42,53,54,57,54,0,0,0,0,0
36.65641,5100,2,8,69,42,53,54,57,54,0,0,0,0,0
36.99796,5150,2,8,69,42,53,54,57,54,0,0,0,0,0
37.37994,5200,2,8,69,42,53,54,57,54,0,0,0,0,0
37.70925,5250,2,8,69,42,53,54,57,54,0,0,0,0,0
38.08183,5300,2,8,69,42,53,54,57,54,0,0,0,0,0
38.47383,5350,2,8,69,42,53,54,57,54,0,0,0,0,0
38.80624,5400,2,8,69,42,53,54,57,54,0,0,0,0,0
39.18186,5450,2,8,69,42,53,54,57,54,0,0,0,0,0
39.55667,5500,2,8,69,42,53,54,57,54,0,0,0,0,0
39.89452,5550,2,8,69,42,53,54,57,54,0,0,0,0,0
40.28859,5600,2,8,69,42,53,54,57,54,0,0,0,0,0
40.66327,5650,2,8,69,42,53,54,57,54,0,0,0,0,0
40.9879,5700,2,8,69,42,53,54,57,54,0,0,0,0,0
41.37267,5750,2,8,69,42,53,54,57,54,0,0,0,0,0
41.70609,5800,2,8,69,42,53,54,57,54,0,0,0,0,0
42.09445,5850,2,8,69,42,53,54,57,54,0,0,0,0,0
42.46222,5900,2,8,69,42,53,54,57,54,0,0,0,0,0
42.79214,5950,2,8,69,42,53,54,57,54,0,0,0,0,0
43.17667,6000,2,8,69,42,53,54,57,54,0,0,0,0,0
43.51073,6050,2,8,69,42,53,54,57,54,0,0,0,0,0
43.87885,6100,2,8,69,42,53,54,57,54,0,0,0,0,0
44.26862,6150,2,8,69,42,53,54,57,54,0,0,0,0,0
44.60223,6200,2,8,69,42,53,54,57,54,0,0,0,0,0
44.97866,6250,2,8,69,42,53,54,57,54,0,0,0,0,0
45.30959,6300,2,8,69,42,53,54,57,54,0,0,0,0,0
45.67279,6350,2,8,69,42,53,54,57,54,0,0,0,0,0
46.05703,6400,2,8,69,42,53,54,57,54,0,0,0,0,0
46.38869,6450,2,8,69,42,53,54,57,54,0,0,0,0,0
46.76161,6500,2,8,69,42,53,54,57,54,0,0,0,0,0
47.09175,6550,2,8,69,42,53,54,57,54,0,0,0,0,0
47.46309,6600,2,8,69,42,53,54,57,54,0,0,0,0,0
47.80394,6650,2,8,69,42,53,54,57,54,0,0,0,0,0
48.19139,6700,2,8,69,42,53,54,57,54,0,0,0,0,0
48.59858,6750,2,7,65,64,53,54,57,54,0,0,0,0,1
48.97265,6800,2,7,65,64,53,54,57,54,0,0,0,0,1
