SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
6.812776,50,0,6,69,20,53,,,,0,0,0,0,0
7.06659,100,0,6,69,20,53,,,,0,0,0,0,0
7.298241,150,0,6,69,20,53,,,,0,0,0,0,0
7.553641,200,0,6,69,20,53,,,,0,0,0,0,0
7.783425,250,0,6,69,20,53,,,,0,0,0,0,0
8.010925,300,0,6,69,20,53,,,,0,0,0,0,0
8.256896,350,0,6,69,20,53,,,,0,0,0,0,0
8.487547,400,0,6,69,20,53,,,,0,0,0,0,0
8.785484,450,0,6,69,20,53,,,,0,0,0,0,0
9.051896,500,0,6,69,20,53,,,,0,0,0,0,0
9.296386,550,0,6,69,20,53,,,,0,0,0,0,0
9.558627,600,0,6,69,20,53,,,,0,0,0,0,0
9.796782,650,0,6,69,20,53,,,,0,0,0,0,0
10.06122,700,0,6,69,20,53,,,,0,0,0,0,0
10.33401,750,0,6,69,20,53,,,,0,0,0,0,0
10.61284,800,0,6,69,20,53,,,,0,0,0,0,0
10.87893,850,0,6,69,20,53,,,,0,0,0,0,0
11.13581,900,0,6,69,20,53,,,,0,0,0,0,0
11.39382,950,0,6,69,20,53,,,,0,0,0,0,0
11.65449,1000,0,6,69,20,53,,,,0,0,0,0,0
11.88426,1050,0,6,69,20,53,,,,0,0,0,0,0
12.14598,1100,0,6,69,20,53,,,,0,0,0,0,0
12.38139,1150,0,6,69,20,53,,,,0,0,0,0,0
12.60999,1200,0,6,69,20,53,,,,0,0,0,0,0
12.85635,1250,0,6,69,20,53,,,,0,0,0,0,0
13.08573,1300,0,6,69,20,53,,,,0,0,0,0,0
13.31457,1350,0,6,69,20,53,,,,0,0,0,0,0
13.56863,1400,0,6,69,20,53,,,,0,0,0,0,0
13.80844,1450,0,6,69,20,53,,,,0,0,0,0,0
14.05694,1500,0,6,69,20,53,,,,0,0,0,0,0
